[INFO] [5/6/2020 9:36:28 AM] Starting IMS...
[INFO] [5/6/2020 9:36:28 AM] IMS settings configuration loaded.
[INFO] [5/6/2020 9:36:28 AM] Attempting to find suitable UPnP router for port forwarding...
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:51 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:52 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:53 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:54 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:54 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:54 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:54 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:54 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:54 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:54 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
[WARNING] [5/6/2020 9:36:55 AM] Could not get player e3087768-76b3-487d-987b-741694b3d97f's profile from Mojang servers!
